product_id,upc,name,brand,category,price_usd,size,cal,protein_g,fiber_g,fat_g,carbs_g,vitC_mg,vitA_mcg,nutrition_score,id
0001111042908,0001111042908,Simple Truth Organic® Vitamin D Whole Milk Gallon,Simple Truth Organic,Dairy,6.99,1 gal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0009396600742,0009396600742,Organic Valley® Whole Milk Gallon,Organic Valley,Dairy,8.99,128 fl oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0007203673802,0007203673802,Harris Teeter™ Vitamin D Whole Milk Gallon,Harris Teeter,Dairy,4.39,1 gal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0007203663217,0007203663217,Harris Teeter Large White Eggs,Harris Teeter,Dairy,2.99,18 ct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0071514150349,0071514150349,"Eggland's Best Classic Large White Eggs, 12 count",Eggland's Best,Dairy,4.69,12 ct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0007203663220,0007203663220,Harris Teeter Large Grade A White Eggs,Harris Teeter,Dairy,2.29,12 ct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
0003663201953,0003663201953,Oikos Triple Zero Vanilla High Protein Nonfat Greek Yogurt Cups,Oikos,Dairy,6.19,"5.3 oz., 4 pack",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0003663201944,0003663201944,Oikos Triple Zero Vanilla High Protein Nonfat Greek Yogurt Tub,Oikos,Dairy,7.49,32 fl oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
0089470001043,0089470001043,Chobani® Whole Milk Plain Greek Yogurt Tub,Chobani,Dairy,5.0,32 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
0007203655013,0007203655013,Harris Teeter Sharp Cheddar Cheese,Harris Teeter,Dairy,2.99,8 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
0007203655024,0007203655024,Harris Teeter Shredded Sharp Cheddar Cheese,Harris Teeter,Dairy,2.99,8 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
0003450015150,0003450015150,Land O' Lakes Land O Lakes Unsalted Butter Sticks,Land O' Lakes,Dairy,4.99,4 sticks / 16 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
